Functional Group	SMARTS
ACETAL	COC(C)(C)OC
ACYLOIN	CC(=O)C([OH])C
ALCOHOL	C[OH]
"ALCOHOL, ALLYLIC"	C=CC[OH]
ALDEHYDE	[CH]=O
ALKANE	CCC
ALKENE-ALCOHOL	C=CC[OH]
ALKENE-ALDEHYDE	[CH](=O)CC=C
ALKENE-ALKYNE	C#CC=CC
ALKENE-AMINE	[H][N+](C)(C)C=CC
ALKENE-CARBOXYLIC ACID	CC=CC(=O)O
ALKENE-KETONE	CC=CC=O
ALKENE-THIOETHER	CCC=C[S+](C)C
ALKENE	C=C
ALKYNE-ALCOHOL	[OH]CC#CC
ALKYNE	C#C
ALLENE	C=C=C
ALLOPHANATE	[NH](C)C(=O)N(C)C(=O)OCC
AMIDE-ESTER	COC(=O)N(C)C(=O)C
AMIDE	CC(=O)N(C)C
AMIDINE	CC(=N)N
AMINE OXIDE	CN(C)(C)=O
AMINE	[NH2]C
AMINO-ACID	NC(C)C(=O)[OH]
AMINO-ALCOHOL	NCC[OH]
AMINO-ALDEHYDE	NCC(=O)C
AMINO-ESTER	NCOC(=O)C
AMINO-ETHER	COCCN
AMINO-KETONE	NCC(=O)C
AMINO-NITRILE	NCCC#N
AMINO-THIOETHER	NCCSC
AMINO-THIOL	NCC[SH]
ANHYDRIDES	CC(=O)OC(C)=O
ARENES	Cc1ccccc1
AROMATIC 	c1ccccc1
AZIDE	N#N=[N-]
AZIDO-ALCOHOL	N#N=[N-]CC[OH1]
AZIDO-AMINE	N#N=[N-]CCN
AZIRIDINE	C1CN1
AZIRINE	C1=NC1
AZO COMPOUND	CN=NC
AZOXY COMPOUND	CN=N(C)=O
BIARYL	c2ccc(c1ccccc1)cc2
BISAMIDE	CN(C)C(=O)CC(=O)N(C)C
BORANE	COB(OC)OC
BORONIC ACID	CB(O)O
BUNTE SALT	CSS(=O)(=O)[O-]
CARBAMATES	COC(=O)N(C)C
CARBONATE	O=C([O-])[O-]
CARBOXYLIC ACID	C(=O)[OH]
CARBOXYLIC ESTER	COC(C)=O
COUMARIN	O=c2ccc1ccccc1o2
CUMULENE	C=C=C=C
CYANAMIDE	N#CN
"CYANIDES, ACYL"	CC(=O)C#N
CYANO IMINE	CN=C(C)C#N
CYANOHYDRIN	CC(C)(O)C#N
CYCLOBUTANE	C1CCC1
CYCLOBUTENE	C1=CCC1
CYCLOPROPANE	C1CC1
DIALDEHYDE	[CH](=O)C[CH]=O
DIAMINE	CC(N)CN
DIAZO COMPOUND	CC(C)=N#N
DIAZONIUM COMPOUND	N#[N+]c1ccccc1
DICARBOXYLIC ACID	[OH]C(=O)CCCC(=O)[OH]
DIENE	C=CC=C
DIESTER	COC(=O)OC
DIHALIDES (GEMINAL)	C(X)X
DIHALIDE	XCCX
DIKETONE	CC(=O)CC(C)=O
DIOL	OC1CCCCC1O
DISULFIDE	CSSC
DITHIOACETAL	CSC(C)SC
DITHIOCARBAMATE	CSC(=O)N(C)C
DITHIOKETAL	CC(SC)(SC)C
DITHIOL	SCCS
DIYNE	C#CCCCC#C
ENAMIDE	C=CN(C)N(O)O
ENAMINE	C=CN
ENOL ETHER	C=COC
ENOL	C=C[OH]
EPISULFIDE	CC1(C)SC1(C)C
EPOXY-ALCOHOL	C1OC1[OH]
EPOXY-AMIDE	C1OC1C(=O)N
EPOXY-CARBOXYLIC ACID	C1OC1C(=O)[OH]
EPOXY-KETONE	CC(=O)C1CO1
EPOXY-NITRILE	N#CC1CO1
ESTER-AMIDE	COC(=O)N(C)C
ESTER-SULFIDE	CSC(=O)C
ESTER	COC(=O)C
ETHER-AMINE	CON
ETHER-ESTER	COCC(=O)OC
ETHER-KETONE	COCC(C)=O
ETHER	COC
"ETHER, SILYL"	CO[Si](C)(C)C
FORMAMIDE	CC(N)=O
GLYCIDIC ESTER	CCOC(=O)C1(C)OC1(C)C
"HALIDE, ACYL"	CC(=O)X
"HALIDE, ALKYL"	CX
"HALIDE, ALLYLIC"	C=CX
"HALIDE, SULFONYL"	C[C+2](=O)(=O)X
HALO-ALDEHYDE	[CH](=O)CX
HALO-ALKYNE	C#CCX
HALO-AMIDE	NC(=O)CX
HALO-AMINE	NCX
HALO-AZIDE	N=[N+]=NCX
HALO-CARBOXYLIC ACID	[OH]C(=O)CX
HALO-ETHER	COCX
HALO-KETONE	CC(=O)CCX
HALO-LACTAM	O=C1NCC1X
HALO-LACTONE	CC1OC1=O
HALO-NITRO 	XCCN(O)O
HALO-NITROSO 	O=NCX
HALO-SILANE	[Si]X
HALO-SULFONE	CS(=O)(=O)X
HALO-SULFOXIDE	CS(=O)X
HALOHYDRIN	CC([OH])C(X)C
HETEROCYCLE	C2=Cc1ccccc1C2
HYDRAZIDE	CC(=O)N(C)N(C)C
HYDRAZINE	NN
HYDRAZONE	CC(C)=NN
HYDROXAMIC ACID	CC(=O)N(C)[OH]
HYDROXY-AMIDE	CC([OH])C(C)C(N)=O
HYDROXY-AMINE	CC([OH])C(C)CN
HYDROXY-AZIRIDINE	[OH]C1CN1
HYDROXY-CARBOXYLIC ACID	[OH]C(=O)C[OH]
HYDROXY-ESTER	CC(=O)COC[OH]
HYDROXY-KETONE	CC(=O)C[OH]
HYDROXY-NITRO 	O=NOCO
HYDROXY-PHOSPHONATE	COP(=O)(OC)OC[OH]
HYDROXY-THIOCYANATE	N#CSC[OH]
HYDROXY-THIOETHER	CSC[OH]
HYDROXYLAMINE	[H]ON
IMIDE	CC(=O)N(C)C(C)=O
IMINE	CN=C(C)C
IMINO ESTER	COC(=O)C1CCC=N1
ISOCYANATE	CN=C=O
ISONITRILE	C#[N+]C
ISOTHIOCYANATE	CN=C=S
KETENE	CC(C)=C=O
KETENIMINE	C(C)C=C=NC
KETO-ALDEHYDE	CC(=O)C[CH](=O)
KETO-AMIDE	CC(=O)CC(=O)N
KETO-CARBOXYLIC ACID	CC(=O)CC(=O)[OH]
KETO-ESTER	COCC(=O)C
KETO-SULFONE	CC(=O)CS(C)(=O)=O
KETONE	CC(=O)C
LACTAM	NC=O
LACTONE	OC=O
NITRATE	O=N(=O)[O-]
NITRILE	CC#N
NITRITE	O=N[O-]
NITRO 	CN(=O)=O
NITRO-ALCOHOL	O[NH+](O)O
NITRONE	C=N(O)C
NITROSO-AMINE	CN(C)N=O
ORTHO ESTER	COC(C)(OC)OC
OSAZONE	OCC(O)C(O)C(O)C(=NN)C=NN
OXIME	C=N[OH]
PEROXIDE	COOC
PHOSPHATE	OP(=O)(O)O
PHOSPHINAMIDE	CP(=O)(N)C
PHOSPHINATE	OP(=O)(C)C
PHOSPHINE	[PH3]
PHOSPHINE OXIDE	CP(=O)(C)C
PHOSPHINITE	CP(C)C
PHOSPHITE	OP(C)O
PHOSPHONAMIDATE	NP(=O)(C)O
PHOSPHONAMIDE	NP(=O)(C)C
PHOSPHONAMIDITE	OP(N)C
PHOSPHONATE	OP(=O)(O)C
PHOSPHONITE	OP(O)C
PHOSPHONATE ESTER	COP(C)(=O)OC
PHOSPHORAMIDATE	OP(=O)(N)O
PHOSPHORAMIDE	NP(=O)(N)N
PHOSPHORAMIDITE	NP(O)O
PHOSPHORANE	CP(C)(C)(C)C
PHOSPHORODIAMIDATE	OP(=O)(N)N
PHOSPHORODIAMIDITE	NP(N)O
PHOSPHORODITHIOATE	NP(=O)(C)N
PHOSPHORODITHIOITE	OP(S)S
PHOSPHOROTHIOATE	OP(=S)(O)S
PHOSPHOROTHIOITE	OP(O)S
QUINONE	O=c1ccccc1=O
SELENIDE	[Se]
SELENOCARBONATE	O=C([O-])[Se-]
SELENOETHER-ALDEHYDE	[H]C(=O)[Se-]
SELENOETHER-KETONE	O=C[Se-]
SELENOXIDE	OC[Se-]
SILANE	[SiH4]
SULFINIC ACID	CS(=O)[OH]
SULFONAMIDE	CN(C)S(C)(=O)=O
SULFONATE ESTER	COS(C)(=O)=O
SULFONE	CS(C)(=O)=O
SULFONYL IMINE	CS(=O)(=O)N=C
SULFOXIDE	CS(=O)C
TELLURIDE	[Te]
THIIRANE	C1CS1
THIOCARBAMATE	CNC(=O)SC
THIOCARBOXYLIC ACID	CC(=S)[OH]
THIOESTER	CSC(=O)C
THIOETHER-ALDEHYDE	CS[CH](=O)
THIOETHER-KETONE	CSC(=O)C
THIOETHER (SULFIDE)	CSC
THIOKETONE	CC(=S)C
THIOLACTAM	S=C1CCN1
THIOL	C[SH]
THIOUREA	NC(=S)N
TRIAZOLE	c1cscn1
TRIAZOLINE	c1ncnn1
TRIHALIDE	C(X)(X)X
TRIOXANE	C1COOOC1
UREA	NC(N)=O
VINYL ETHER	C=COC=C
VINYL PHOSPHINE	[PH2]C=C
VINYL SILANE	[SiH3]C=C
VINYL SULFIDE	C=CSC=C
VINYL SULFONE	C=CS(=O)(=O)C=C
XANTHATE	O=C([O-])c3cccc2Oc1ccccc1Cc23
